,precision,recall,f1-score,support
overripe,0.9925650557620818,0.9925650557620818,0.9925650557620818,269.0
ripe,0.980440097799511,0.9975124378109452,0.9889025893958077,402.0
rotten,0.9933774834437086,0.9803921568627451,0.9868421052631579,459.0
unripe,0.9953917050691244,0.9908256880733946,0.993103448275862,218.0
accuracy,0.9896142433234422,0.9896142433234422,0.9896142433234422,0.9896142433234422
macro avg,0.9904435855186065,0.9903238346272916,0.9903532996742272,1348.0
weighted avg,0.9896829198228003,0.9896142433234422,0.9896112158583398,1348.0
