,precision,recall,f1-score,support
overripe,0.9848484848484849,0.966542750929368,0.975609756097561,269.0
ripe,0.9566265060240964,0.9875621890547264,0.9718482252141983,402.0
rotten,0.9755555555555555,0.9564270152505446,0.9658965896589659,459.0
unripe,0.9817351598173516,0.9862385321100917,0.9839816933638444,218.0
accuracy,0.9725519287833828,0.9725519287833828,0.9725519287833828,0.9725519287833828
macro avg,0.9746914265613722,0.9741926218361827,0.9743340660836425,1348.0
weighted avg,0.9727643640104686,0.9725519287833828,0.9725345361521772,1348.0
